,longitude,latitude,tags,cluster
20,4.8279475,45.7603375,"{'lyon': 48, 'france': 10, 'lumi\xc3\xa8res': 11, 'f\xc3\xaatedeslumi\xc3\xa8res': 19, 'lumieres': 10, '2012': 12}",20
21,4.82722027027,45.7659189189,"{'8december': 23, 'illuminations': 10, 'gare': 16, 'rh\xc3\xb4nealpes': 22, 'vieuxlyon': 11, '5earrondissement': 22, '69': 16, 'city': 13, 'lyon': 66, '8dec': 16, 'festivaloflights': 19, '5\xc3\xa8mearrondissement': 22, 'france': 42, 'lights': 18, 'lumi\xc3\xa8res': 30, '5e': 22, '8thdecember': 16, 'europe': 22, 'lyon5': 22, 'saintpaul': 13, '69005': 23, 'cinqui\xc3\xa8mearrondissement': 22, 'dec8': 16, 'grandlyon': 16, '2008': 13, 'light': 32, '5\xc3\xa8me': 22, 'december8th': 16, 'f\xc3\xaate': 26, 'festival': 16, 'december8': 16, 'night': 13, '8d\xc3\xa9cembre': 35, 'cinqui\xc3\xa8me': 22, 'rh\xc3\xb4ne': 19, '2009': 18, 'f\xc3\xaatedeslumi\xc3\xa8res': 45, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 17}",21
22,4.8362375,45.7696805556,"{'8december': 42, 'december': 10, 'premier': 38, 'premierarrondissement': 38, '69': 29, 'lyon': 69, '8dec': 29, 'festivaloflights': 30, 'france': 43, 'lights': 36, 'lumi\xc3\xa8res': 53, '8thdecember': 29, 'europe': 29, 'rh\xc3\xb4nealpes': 29, 'lyon1': 38, '69001': 38, '1er': 38, 'dec8': 29, 'grandlyon': 29, '2008': 12, 'd\xc3\xa9cembre': 10, '1erarrondissement': 38, 'light': 35, 'december8th': 29, 'f\xc3\xaate': 41, 'festival': 29, 'december8': 29, '2007': 10, '8d\xc3\xa9cembre': 40, 'rh\xc3\xb4ne': 29, '2009': 32, 'f\xc3\xaatedeslumi\xc3\xa8res': 44, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 29}",22
23,4.83050277778,45.7707361111,"{'8december': 10, 'lyon': 50, 'premier': 12, 'lyon1': 12, 'croixrousse': 16, 'light': 22, '1erarrondissement': 12, '69001': 12, 'france': 24, '1er': 12, 'lumi\xc3\xa8res': 14, 'premierarrondissement': 12, '8d\xc3\xa9cembre': 11, 'amphith\xc3\xa9\xc3\xa2tredestroisgaules': 15, '2008': 12, 'f\xc3\xaatedeslumi\xc3\xa8res': 36, '2011': 14, 'f\xc3\xaate': 11, 'lumieres': 19, 'celebration': 17}",23
24,4.84654571429,45.7782,"{'lyon': 61, 'parc': 17, 'des': 17, 't\xc3\xaatedor': 11, 'france': 43, 'parcdelat\xc3\xaatedor': 16, 'fete': 10, '2013': 13, '2008': 13, 'f\xc3\xaate': 20, 'f\xc3\xaatedeslumi\xc3\xa8res': 26, 'lumieres': 10, 'lumi\xc3\xa8res': 21}",24
25,4.83602380952,45.7638253968,"{'lyon': 60, 'des': 22, 'corazon': 10, 'monuments': 19, 'lumi\xc3\xa8res': 30, 'villages': 19, 'nuit': 12, 'france': 18, 'paysages': 19, 'night': 13, 'f\xc3\xaate': 21, 'landscapes': 19, 'f\xc3\xaatedeslumi\xc3\xa8res': 10, '2013': 21, 'architecture': 19}",25
26,4.83030517241,45.7693965517,"{'lyon': 42, 'light': 14, 'des': 11, 'france': 22, 'fete': 10, 'lumi\xc3\xa8res': 12, 'fetedeslumieres': 11, 'f\xc3\xaatedeslumi\xc3\xa8res': 12, 'lumieres': 13}",26
27,4.82783275862,45.7636551724,"{'8december': 18, 'rh\xc3\xb4nealpes': 13, '5earrondissement': 18, '69': 13, 'lyon': 38, '8dec': 13, 'festivaloflights': 13, '5\xc3\xa8mearrondissement': 18, 'france': 19, 'lights': 15, 'filoer': 16, 'lumi\xc3\xa8res': 21, '5e': 18, 'tourisme': 16, '8thdecember': 13, 'europe': 13, 'lyon5': 18, '69005': 18, 'villages': 16, 'frances': 16, 'cinqui\xc3\xa8mearrondissement': 18, 'dec8': 13, 'grandlyon': 13, 'light': 13, '5\xc3\xa8me': 18, 'december8th': 13, 'f\xc3\xaate': 19, 'festival': 13, 'december8': 13, '8d\xc3\xa9cembre': 29, 'cinqui\xc3\xa8me': 18, 'rh\xc3\xb4ne': 29, '2009': 16, 'f\xc3\xaatedeslumi\xc3\xa8res': 33, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 13}",27
28,4.830872,45.7612,"{'lyon': 25, 'f\xc3\xaatedeslumi\xc3\xa8res': 23, 'france': 16}",28
29,4.83633877551,45.7586326531,"{'8december': 10, 'lyon': 46, '2009': 12, '8d\xc3\xa9cembre': 13, 'lyon2': 10, 'lights': 10, '2earrondissement': 10, 'light': 14, '2008': 14, 'deuxi\xc3\xa8mearrondissement': 10, '69002': 10, 'france': 32, 'f\xc3\xaatedeslumi\xc3\xa8res': 19, '2e': 10, 'lumi\xc3\xa8res': 11, 'night': 14, '2\xc3\xa8me': 10, 'deuxi\xc3\xa8me': 10, 'fetedeslumieres': 15, '2\xc3\xa8mearrondissement': 10}",29
30,4.82862291667,45.7615625,"{'lyon': 24, 'france': 13}",30
31,4.83465957447,45.775,"{'lyon': 42, 'f\xc3\xaates': 12, 'light': 13, 'des': 18, 'france': 10, 'groscaillou': 11, 'lumi\xc3\xa8res': 17, 'ovo': 14, 'f\xc3\xaatedeslumi\xc3\xa8res': 11, '2011': 14, '2010': 15, 'lumieres': 10}",31
32,4.84366976744,45.7514883721,"{'8december': 41, 'europe': 16, '7e': 41, 'december': 25, '7\xc3\xa8mearrondissement': 41, 'septi\xc3\xa8me': 41, '69': 16, 'rivegauche': 25, 'lyon': 43, '8dec': 16, 'festival': 16, 'france': 41, 'lights': 16, 'lumi\xc3\xa8res': 41, '7\xc3\xa8me': 41, '8thdecember': 16, 'laguilloti\xc3\xa8re': 16, 'rh\xc3\xb4nealpes': 16, 'guilloti\xc3\xa8re': 41, '69007': 16, 'dec8': 16, '7earrondissement': 41, 'grandlyon': 16, '2008': 25, 'lyon7': 16, 'd\xc3\xa9cembre': 25, 'light': 16, 'december8th': 16, 'f\xc3\xaatedeslumi\xc3\xa8res': 43, 'sa\xc3\xb4ne': 25, 'festivaloflights': 16, 'december8': 16, 'septi\xc3\xa8mearrondissement': 41, '8d\xc3\xa9cembre': 41, 'rh\xc3\xb4ne': 16, '2009': 16, 'f\xc3\xaate': 41, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 16}",32
33,4.8312804878,45.7626585366,"{'lyon': 35, 'f\xc3\xaatedeslumi\xc3\xa8res': 14, 'france': 22}",33
34,4.8428972973,45.761,"{'8december': 31, 'december': 20, 'rh\xc3\xb4nealpes': 12, '69': 11, 'rivegauche': 20, 'troisi\xc3\xa8me': 31, 'lyon': 37, '8dec': 11, 'festival': 11, 'troisi\xc3\xa8mearrondissement': 31, 'france': 32, 'lights': 11, 'lumi\xc3\xa8res': 32, '3\xc3\xa8mearrondissement': 31, '3e': 31, 'europe': 11, '3earrondissement': 31, 'lyon3': 31, 'f\xc3\xaate': 31, 'pr\xc3\xa9fecture': 21, '69003': 31, 'dec8': 11, 'grandlyon': 11, '2008': 21, 'd\xc3\xa9cembre': 20, 'light': 11, 'december8th': 11, '3\xc3\xa8me': 31, 'sa\xc3\xb4ne': 20, 'festivaloflights': 11, 'december8': 11, '8thdecember': 11, '8d\xc3\xa9cembre': 31, 'rh\xc3\xb4ne': 11, '2009': 11, 'f\xc3\xaatedeslumi\xc3\xa8res': 36, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 11}",34
35,4.84414594595,45.777,"{'lyon': 32, 'december': 12, 'france': 25, 'lumi\xc3\xa8res': 12, 'night': 10, '2008': 17, 'f\xc3\xaate': 10, 'f\xc3\xaatedeslumi\xc3\xa8res': 17}",35
36,4.8326,45.777,"{'8december': 34, 'ivry': 26, 'december': 27, '4earrondissement': 35, 'plateaudelacroixrousse': 26, 'lyon': 35, 'france': 35, 'plateau': 28, '4\xc3\xa8me': 35, 'lumi\xc3\xa8res': 33, 'jardinsdivry': 26, 'lyon4': 35, 'croixrousse': 28, '4\xc3\xa8mearrondissement': 35, 'd\xc3\xa9cembre': 27, 'quatri\xc3\xa8mearrondissement': 35, 'quatri\xc3\xa8me': 35, 'f\xc3\xaate': 33, '8d\xc3\xa9cembre': 34, '2008': 27, '4e': 35, 'f\xc3\xaatedeslumi\xc3\xa8res': 34}",36
37,4.8402,45.754,"{'8december': 32, 'europe': 30, '7e': 32, '7\xc3\xa8me': 32, '7\xc3\xa8mearrondissement': 32, 'septi\xc3\xa8me': 32, '69': 30, 'lyon': 32, '8dec': 30, 'festival': 30, 'france': 32, 'lights': 30, 'lumi\xc3\xa8res': 32, '8thdecember': 30, 'laguilloti\xc3\xa8re': 30, 'rh\xc3\xb4nealpes': 30, 'guilloti\xc3\xa8re': 32, '69007': 30, 'dec8': 30, '7earrondissement': 32, 'grandlyon': 30, 'lyon7': 30, 'light': 30, 'december8th': 30, 'f\xc3\xaatedeslumi\xc3\xa8res': 32, 'festivaloflights': 30, 'december8': 30, 'septi\xc3\xa8mearrondissement': 32, '8d\xc3\xa9cembre': 32, 'rh\xc3\xb4ne': 30, '2009': 30, 'f\xc3\xaate': 32, 'f\xc3\xaatedeslumi\xc3\xa8res2009': 30}",37
38,4.83424666667,45.771,"{'8december': 20, 'lyon': 30, 'd\xc3\xa9cembre': 20, 'pentes': 21, 'lyon1': 21, 'croixrousse': 24, 'december': 20, 'premier': 21, '69001': 21, 'france': 24, '1erarrondissement': 21, '1er': 21, 'pentesdelacroixrousse': 21, 'lumi\xc3\xa8res': 21, 'premierarrondissement': 21, '8d\xc3\xa9cembre': 20, '2008': 23, 'f\xc3\xaatedeslumi\xc3\xa8res': 22, 'f\xc3\xaate': 20}",38
