,longitude,latitude,hashtags,date_taken,url,cluster
51725,4.8335,45.767,"[night, 350d, lights, lyon, lumière, tamron, nuit, fêtedeslumières, 1750mm]",6/12/2007_23:52,http://farm3.staticflickr.com/2415/2095268046_cceb3abcdd_t.jpg,0
51796,4.8336,45.768,"[france, lights, lyon, fete, lumieres, placedesterreaux, fetedeslumieres]",9/12/2010_22:30,http://farm6.staticflickr.com/5082/5247859116_f8eacf327d_t.jpg,0
2105,4.8334,45.768,"[travel, winter, france, europe, december, lyon, hiver, 2008, décembre, fêtedeslumières, placedesterreaux]",6/12/2008_23:35,http://farm4.staticflickr.com/3572/3478132098_4a4b844860_t.jpg,0
21135,4.8334,45.768,"[france, lyon]",8/12/2012_23:52,http://farm9.staticflickr.com/8077/8273447394_e8980c7031_t.jpg,0
16700,4.8334,45.768,"[light, night, lyon, lumière, nuit]",6/12/2008_23:23,http://farm8.staticflickr.com/7007/6529292451_0041f1db66_t.jpg,0
888,4.8337,45.767,"[vision:dark=0518, vision:outdoor=0794, fêtedeslumièreslyon2013]",6/12/2013_23:4,http://farm8.staticflickr.com/7337/11247669426_c9aec4e438_t.jpg,0
17913,4.8331,45.767,"[france, lyon, rhône, highlights, fêtedeslumières, placedesterreaux, rhônealpes, lumières2012, lyonlumières2012, hélènerichardetjeanmichelquesne, skertzoetc]",9/12/2012_21:54,http://farm9.staticflickr.com/8477/8273374826_d86e348900_t.jpg,0
42117,4.8336,45.768,"[light, lyon, lumieres, placedesterreaux, terreaux, muséedesbeauxarts, fetedeslumieres]",6/12/2009_19:36,http://farm2.staticflickr.com/1017/5187471007_8e9e71c393_t.jpg,0
43911,4.8336,45.768,"[france, lyon, 2012, rhônealpes, fetedeslumières]",6/12/2012_22:4,http://farm9.staticflickr.com/8219/8265625052_1663a5b41c_t.jpg,0
50357,4.8334,45.768,"[france, place, lyon, fêtedeslumières, lightfestival, terreaux, 2011, transenocturne]",8/12/2011_22:9,http://farm8.staticflickr.com/7032/6741270487_1f2b07850f_t.jpg,0
40732,4.8337,45.767,[],6/12/2012_20:26,http://farm6.staticflickr.com/5455/8877271283_c78f14ea59_t.jpg,0
52458,4.833,45.768,"[lyon, photos, fête, 2008, lumieres]",6/12/2008_18:0,http://farm4.staticflickr.com/3053/3092720356_5fee21664d_t.jpg,0
23509,4.8337,45.767,"[vision:text=0745, vision:outdoor=0763, vision:dark=0856, fêtedeslumièreslyon2013]",6/12/2013_23:10,http://farm6.staticflickr.com/5540/11247654066_e06456c47b_t.jpg,0
2208,4.834,45.767,"[light, place, lumières, terreaux, 2011, fetedeslumières]",9/12/2011_0:26,http://farm8.staticflickr.com/7030/6485953693_6192798997_t.jpg,0
2213,4.8339,45.768,"[apple, lyon, nuit, 2009, eclairage, spectacle, vidéo, fêtedeslumières, miseenscène, sonetlumières, brunovitasse, iphone3gs, chupacabraart]",7/12/2009_18:3,http://farm6.staticflickr.com/5244/5301645941_0cbe1f0a0f_t.jpg,0
21180,4.8335,45.768,"[lyon, lumières, fêtedeslumières]",7/12/2009_18:2,http://farm6.staticflickr.com/5028/5596389192_f30bce87b2_t.jpg,0
51473,4.8335,45.768,"[france, lyon, 2007, rhônealpes, fetedeslumieres]",6/12/2007_12:9,http://farm3.staticflickr.com/2029/2284821280_0ddebac183_t.jpg,0
51179,4.8334,45.767,"[lyon, 2008, fêtedeslumières]",8/12/2008_22:50,http://farm4.staticflickr.com/3444/3199216066_4b9101a1f4_t.jpg,0
22975,4.8335,45.768,"[light, party, france, lyon, lumière, fête, 2009, fe?tedeslumie?res]",6/12/2009_21:59,http://farm3.staticflickr.com/2798/4164670560_c6972b09e0_t.jpg,0
23312,4.8337,45.767,"[vision:outdoor=0896, vision:dark=0564, vision:sky=0801, fêtedeslumièreslyon2013]",6/12/2013_22:49,http://farm6.staticflickr.com/5543/11251197153_1b6158a0aa_t.jpg,0
42050,4.834,45.768,"[light, night, lyon, lumieres, 2007, 8decembre, fetedeslumieres]",8/12/2007_1:9,http://farm3.staticflickr.com/2371/2120962047_37a6511db5_t.jpg,0
1780,4.8336,45.768,"[light, lyon, lumieres, placedesterreaux, terreaux, muséedesbeauxarts, fetedeslumieres]",6/12/2009_19:40,http://farm5.staticflickr.com/4149/5187395391_81fc7c5cb3_t.jpg,0
51305,4.8336,45.768,"[light, lyon, hoteldeville, mairie, lumieres, placedesterreaux, terreaux, fetedeslumieres]",6/12/2009_19:40,http://farm2.staticflickr.com/1022/5187484611_53cd509c52_t.jpg,0
20835,4.8336,45.768,"[light, france, lyon, lumiere, fetedeslumieres]",8/12/2007_22:45,http://farm2.staticflickr.com/1036/5189685247_2e50283846_t.jpg,0
18183,4.8335,45.767,"[light, lyon, celebration, 2009, lumieres, fêtedeslumières, terreaux, muséedesbeauxarts]",6/12/2009_20:14,http://farm5.staticflickr.com/4078/4805447881_372e442dfc_t.jpg,0
58582,4.8334,45.768,"[light, night, lyon, lumière, nuit]",6/12/2008_23:9,http://farm8.staticflickr.com/7167/6529279915_bf5b3b2f16_t.jpg,0
20819,4.833,45.768,"[lyon, photos, fête, 2008, lumiers]",7/12/2008_19:52,http://farm4.staticflickr.com/3015/3092660052_0eb84e5503_t.jpg,0
832,4.8335,45.767,"[france, saint, marie, lyon, son, des, fête, lumières, bougie, spectacle, vierge, wwwnetsanfr, wwwyomenetsancom]",8/12/2008_20:21,http://farm4.staticflickr.com/3002/3094027638_17e54e3542_t.jpg,0
52590,4.8334,45.767,"[light, lyon, lumiere, fetedeslumieres]",8/12/2008_19:47,http://farm5.staticflickr.com/4085/5188510896_8553e53b9c_t.jpg,0
52666,4.8336,45.768,"[light, lyon, lumieres, placedesterreaux, terreaux, muséedesbeauxarts, fetedeslumieres]",6/12/2009_19:35,http://farm2.staticflickr.com/1301/5187468865_3d1572ab0d_t.jpg,0
16424,4.834,45.767,"[place, lyon, illumination, 365, fête, lumières, projet, terreaux]",8/12/2012_18:1,http://farm9.staticflickr.com/8357/8254848169_e7727617e5_t.jpg,0
43901,4.8335,45.768,"[france, lyon, 2007, fêtedeslumières, rhônealpes]",9/12/2007_20:17,http://farm3.staticflickr.com/2122/2284966534_a4a6caf7b9_t.jpg,0
2076,4.8334,45.767,"[lyon, 2008, fêtedeslumières]",7/12/2008_22:27,http://farm4.staticflickr.com/3375/3198367083_dae36c50fc_t.jpg,0
23287,4.8335,45.767,"[lyon, 2007, fetedeslumieres]",7/12/2007_21:20,http://farm3.staticflickr.com/2185/2108630686_11a9cf8a1b_t.jpg,0
43903,4.8338,45.767,"[france, lyon, rhône, highlights, fêtedeslumières, placedesterreaux, rhônealpes, lumières2012, lyonlumières2012, hélènerichardetjeanmichelquesne, skertzoetc]",9/12/2012_21:53,http://farm9.staticflickr.com/8062/8272373926_7912d1531e_t.jpg,0
